1553077055.8,0.0,1579,1260
1553077055.8,0.1,1572,1260
1553077055.8,0.2,1554,1260
1553077055.8,0.3,1512,1260
1553077055.8,0.4,1544,1260
1553077055.8,0.5,1528,1260
1553077055.8,0.6,1463,1260
1553077055.8,0.7,1466,1400
1553077056.0,0.8,1600,1400
1553077056.0,0.9,1724,1400
1553077056.0,1.0,1813,1400
1553077056.0,1.1,1984,1400
1553077056.0,1.2,2447,1400
1553077056.0,1.3,3071,1400
1553077056.0,1.4,3475,1540
1553077056.7,1.5,3565,1540
1553077056.7,1.6,2916,1540
1553077056.7,1.7,2345,1540
1553077056.7,1.8,1944,1540
1553077056.7,1.9,1907,1540
1553077056.7,2.0,2002,1540
1553077056.7,2.1,1931,1680
1553077057.3,2.2,1741,1680
1553077057.3,2.3,1732,1680
1553077057.3,2.4,1796,1680
1553077057.3,2.5,1840,1680
1553077057.3,2.6,1876,1680
1553077057.3,2.7,1904,1680
1553077057.3,2.8,1908,1820
1553077058.0,2.9,1932,1820
1553077058.0,3.0,1941,1820
1553077058.0,3.1,1930,1820
1553077058.0,3.2,1928,1820
1553077058.0,3.3,1921,1820
1553077058.0,3.4,1928,1820
1553077058.0,3.5,1922,1960
1553077058.8,3.6,1896,1960
1553077058.8,3.7,1874,1960
1553077058.8,3.8,1862,1960
1553077058.8,3.9,1854,1960
1553077058.8,4.0,1854,1960
1553077058.8,4.1,1854,1960
1553077058.8,4.2,1845,2100
1553077059.5,4.3,1854,2100
1553077059.5,4.4,1858,2100
1553077059.5,4.5,1869,2100
1553077059.5,4.6,1871,2100
1553077059.5,4.7,1867,2100
1553077059.5,4.8,1861,2100
1553077059.5,4.9,1849,2240
1553077060.1,5.0,1834,2240
1553077060.1,5.1,1820,2240
1553077060.1,5.2,1800,2240
1553077060.1,5.3,1788,2240
1553077060.1,5.4,1771,2240
1553077060.1,5.5,1755,2240
1553077060.1,5.6,1725,2380
1553077060.8,5.7,1684,2380
1553077060.8,5.8,1676,2380
1553077060.8,5.9,1698,2380
1553077060.8,6.0,1702,2380
1553077060.8,6.1,1715,2380
1553077060.8,6.2,1749,2380
1553077060.8,6.3,1768,2520
1553077061.7,6.4,1790,2520
1553077061.7,6.5,1779,2520
1553077061.7,6.6,1742,2520
1553077061.7,6.7,1735,2520
1553077061.7,6.8,1735,2520
1553077061.7,6.9,1748,2520
1553077061.7,7.0,1750,2660
1553077062.4,7.1,1756,2660
1553077062.4,7.2,1771,2660
1553077062.4,7.3,1788,2660
1553077062.4,7.4,1803,2660
1553077062.4,7.5,1807,2660
1553077062.4,7.6,1804,2660
1553077062.4,7.7,1797,2800
1553077062.9,7.8,1826,2800
1553077062.9,7.9,1876,2800
1553077062.9,8.0,1913,2800
1553077062.9,8.1,1912,2800
1553077062.9,8.2,1904,2800
1553077062.9,8.3,1926,2800
1553077062.9,8.4,1965,2940
1553077063.6,8.5,2024,2940
1553077063.6,8.6,2028,2940
1553077063.6,8.7,1984,2940
1553077063.6,8.8,1925,2940
1553077063.6,8.9,1875,2940
1553077063.6,9.0,1829,2940
1553077063.6,9.1,1789,3080
1553077064.3,9.2,1778,3080
1553077064.3,9.3,1773,3080
1553077064.3,9.4,1768,3080
1553077064.3,9.5,1772,3080
1553077064.3,9.6,1777,3080
1553077064.3,9.7,1778,3080
1553077064.3,9.8,1788,3220
1553077065.0,9.9,1787,3220
1553077065.0,10.0,1777,3220
1553077065.0,10.1,1732,3220
1553077065.0,10.2,1692,3220
1553077065.0,10.3,1678,3220
1553077065.0,10.4,1690,3220
1553077065.0,10.5,1706,3360
1553077065.7,10.6,1750,3360
1553077065.7,10.7,1781,3360
1553077065.7,10.8,1801,3360
1553077065.7,10.9,1796,3360
1553077065.7,11.0,1793,3360
1553077065.7,11.1,1800,3360
1553077065.7,11.2,1806,3500
1553077066.4,11.3,1810,3500
1553077066.4,11.4,1811,3500
1553077066.4,11.5,1814,3500
1553077066.4,11.6,1818,3500
1553077066.4,11.7,1824,3500
1553077066.4,11.8,1818,3500
1553077066.4,11.9,1819,3640
1553077067.1,12.0,1818,3640
1553077067.1,12.1,1814,3640
1553077067.1,12.2,1810,3640
1553077067.1,12.3,1815,3640
1553077067.1,12.4,1828,3640
1553077067.1,12.5,1842,3640
1553077067.1,12.6,1842,3780
1553077067.9,12.7,1834,3780
1553077067.9,12.8,1841,3780
1553077067.9,12.9,1839,3780
1553077067.9,13.0,1836,3780
1553077067.9,13.1,1839,3780
1553077067.9,13.2,1832,3780
1553077067.9,13.3,1826,3920
1553077068.5,13.4,1818,3920
1553077068.5,13.5,1813,3920
1553077068.5,13.6,1812,3920
1553077068.5,13.7,1818,3920
1553077068.5,13.8,1817,3920
1553077068.5,13.9,1819,3920
1553077068.5,14.0,1821,4060
1553077069.3,14.1,1830,4060
1553077069.3,14.2,1845,4060
1553077069.3,14.3,1866,4060
1553077069.3,14.4,1882,4060
1553077069.3,14.5,1893,4060
1553077069.3,14.6,1894,4060
1553077069.3,14.7,1889,4200
1553077070.0,14.8,1887,4200
1553077070.0,14.9,1882,4200
1553077070.0,15.0,1875,4200
1553077070.0,15.1,1876,4200
1553077070.0,15.2,1876,4200
1553077070.0,15.3,1876,4200
1553077070.0,15.4,1869,4340
1553077070.6,15.5,1868,4340
1553077070.6,15.6,1867,4340
1553077070.6,15.7,1870,4340
1553077070.6,15.8,1864,4340
1553077070.6,15.9,1855,4340
1553077070.6,16.0,1847,4340
1553077070.6,16.1,1834,4480
1553077071.5,16.2,1831,4480
1553077071.5,16.3,1835,4480
