1553079478.7,0.0,1729,0
1553079478.7,0.1,1725,0
1553079478.7,0.2,1724,0
1553079478.7,0.3,1724,0
1553079478.7,0.4,1728,0
1553079478.7,0.5,1723,0
1553079478.7,0.6,1726,0
1553079478.7,0.7,1770,980
1553079483.6,0.8,1766,980
1553079483.6,0.9,1765,980
1553079483.6,1.0,1764,980
1553079483.6,1.1,1766,980
1553079483.6,1.2,1765,980
1553079483.6,1.3,1767,980
1553079483.6,1.4,1764,1400
1553079485.7,1.5,1766,1400
1553079485.7,1.6,1764,1400
1553079485.7,1.7,1766,1400
1553079485.7,1.8,1767,1400
1553079485.7,1.9,1766,1400
1553079485.7,2.0,1766,1400
1553079485.7,2.1,1753,1820
1553079487.8,2.2,1746,1820
1553079487.8,2.3,1741,1820
1553079487.8,2.4,1741,1820
1553079487.8,2.5,1740,1820
1553079487.8,2.6,1741,1820
1553079487.8,2.7,1740,1820
1553079487.8,2.8,1744,2100
1553079489.1,2.9,1742,2100
1553079489.1,3.0,1741,2100
1553079489.1,3.1,1740,2100
1553079489.1,3.2,1740,2100
1553079489.1,3.3,1738,2100
1553079489.1,3.4,1737,2100
1553079489.1,3.5,1737,2240
1553079489.9,3.6,1734,2240
1553079489.9,3.7,1734,2240
1553079489.9,3.8,1735,2240
1553079489.9,3.9,1733,2240
1553079489.9,4.0,1729,2240
1553079489.9,4.1,1731,2240
1553079489.9,4.2,1735,2660
1553079492.0,4.3,1734,2660
1553079492.0,4.4,1737,2660
1553079492.0,4.5,1736,2660
1553079492.0,4.6,1736,2660
1553079492.0,4.7,1734,2660
1553079492.0,4.8,1739,2660
1553079492.0,4.9,1732,2800
1553079492.7,5.0,1738,2800
1553079492.7,5.1,1734,2800
1553079492.7,5.2,1731,2800
1553079492.7,5.3,1734,2800
1553079492.7,5.4,1736,2800
1553079492.7,5.5,1736,2800
1553079492.7,5.6,1746,3080
1553079494.1,5.7,1747,3080
1553079494.1,5.8,1749,3080
1553079494.1,5.9,1745,3080
1553079494.1,6.0,1743,3080
1553079494.1,6.1,1743,3080
1553079494.1,6.2,1739,3080
1553079494.1,6.3,1747,3360
1553079495.5,6.4,1738,3360
1553079495.5,6.5,1741,3360
1553079495.5,6.6,1743,3360
1553079495.5,6.7,1736,3360
1553079495.5,6.8,1737,3360
1553079495.5,6.9,1737,3360
1553079495.5,7.0,1756,3780
1553079497.6,7.1,1750,3780
1553079497.6,7.2,1748,3780
1553079497.6,7.3,1749,3780
1553079497.6,7.4,1745,3780
1553079497.6,7.5,1745,3780
1553079497.6,7.6,1747,3780
1553079497.6,7.7,1744,3920
1553079498.3,7.8,1742,3920
1553079498.3,7.9,1742,3920
1553079498.3,8.0,1743,3920
1553079498.3,8.1,1744,3920
1553079498.3,8.2,1745,3920
1553079498.3,8.3,1745,3920
1553079498.3,8.4,1746,4060
1553079499.0,8.5,1749,4060
1553079499.0,8.6,1750,4060
1553079499.0,8.7,1750,4060
1553079499.0,8.8,1750,4060
1553079499.0,8.9,1753,4060
1553079499.0,9.0,1749,4060
1553079499.0,9.1,1748,4200
1553079499.6,9.2,1747,4200
1553079499.6,9.3,1744,4200
1553079499.6,9.4,1744,4200
1553079499.6,9.5,1743,4200
1553079499.6,9.6,1741,4200
1553079499.6,9.7,1743,4200
1553079499.6,9.8,1740,4340
1553079500.4,9.9,1739,4340
1553079500.4,10.0,1739,4340
1553079500.4,10.1,1743,4340
1553079500.4,10.2,1742,4340
1553079500.4,10.3,1748,4340
1553079500.4,10.4,1747,4340
1553079500.4,10.5,1759,4480
1553079501.0,10.6,1764,4480
1553079501.0,10.7,1767,4480
1553079501.0,10.8,1766,4480
1553079501.0,10.9,1767,4480
1553079501.0,11.0,1766,4480
1553079501.0,11.1,1768,4480
1553079501.0,11.2,1766,4620
1553079501.7,11.3,1763,4620
1553079501.7,11.4,1764,4620
1553079501.7,11.5,1761,4620
1553079501.7,11.6,1763,4620
1553079501.7,11.7,1760,4620
1553079501.7,11.8,1759,4620
1553079501.7,11.9,1759,4760
1553079502.5,12.0,1760,4760
1553079502.5,12.1,1761,4760
1553079502.5,12.2,1758,4760
1553079502.5,12.3,1759,4760
1553079502.5,12.4,1762,4760
1553079502.5,12.5,1761,4760
1553079502.5,12.6,1763,4900
1553079503.1,12.7,1763,4900
1553079503.1,12.8,1766,4900
1553079503.1,12.9,1766,4900
1553079503.1,13.0,1766,4900
1553079503.1,13.1,1765,4900
1553079503.1,13.2,1765,4900
1553079503.1,13.3,2089,5460
1553079506.0,13.4,2113,5460
1553079506.0,13.5,2134,5460
1553079506.0,13.6,2141,5460
1553079506.0,13.7,2107,5460
1553079506.0,13.8,2015,5460
1553079506.0,13.9,1923,5460
1553079506.0,14.0,1792,5740
1553079507.4,14.1,1773,5740
1553079507.4,14.2,1742,5740
1553079507.4,14.3,1736,5740
1553079507.4,14.4,1725,5740
1553079507.4,14.5,1728,5740
1553079507.4,14.6,1730,5740
1553079507.4,14.7,1733,5880
1553079508.1,14.8,1739,5880
1553079508.1,14.9,1738,5880
1553079508.1,15.0,1740,5880
1553079508.1,15.1,1741,5880
1553079508.1,15.2,1746,5880
1553079508.1,15.3,1756,5880
1553079508.1,15.4,1756,6160
1553079509.5,15.5,1755,6160
1553079509.5,15.6,1758,6160
1553079509.5,15.7,1757,6160
1553079509.5,15.8,1755,6160
1553079509.5,15.9,1752,6160
1553079509.5,16.0,1748,6160
1553079509.5,16.1,1750,6300
1553079510.1,16.2,1747,6300
1553079510.1,16.3,1743,6300
1553079510.1,16.4,1744,6300
